team,wins,losses,points_per_g,opp_points_per_g,off_rating,def_rating
ATL,40,42,118.2,119.3,114.6,115.7
BOS,61,21,116.3,107.2,120.6,111.1
BRK,26,56,105.1,112.2,108.5,115.8
CHO,19,63,105.1,114.2,107.3,116.6
CHI,39,43,117.8,119.4,114.1,115.6
CLE,64,18,121.9,112.4,121.7,112.2
DAL,39,43,114.2,115.4,114.8,116
DEN,50,32,120.8,116.9,119.9,116
DET,44,38,115.5,113.6,115,113.1
GSW,48,34,113.8,110.5,115,111.7
HOU,52,30,114.3,109.8,115.3,110.8
IND,50,32,117.4,115.1,116.5,114.3
LAC,50,32,112.9,108.2,115.1,110.3
LAL,50,32,113.4,112.2,115.9,114.7
MEM,48,34,121.7,116.9,117.7,113
MIA,37,45,110.6,110,113.5,112.9
MIL,48,34,115.5,113,115.9,113.4
MIN,49,33,114.3,109.3,116.6,111.5
NOP,21,61,109.8,119.3,110.4,119.9
NYK,51,31,115.8,111.7,118.5,114.3
OKC,68,14,120.5,107.6,120.3,107.5
ORL,41,41,105.4,105.5,109.4,109.6
PHI,24,58,109.6,115.8,111.9,118.2
PHO,36,46,113.6,116.6,116.2,119.3
POR,36,46,110.9,113.9,111.7,114.7
SAC,40,42,115.7,115.3,116.7,116.2
SAS,34,48,113.9,116.7,114.4,117.2
TOR,30,52,110.9,115.2,110.5,114.8
UTA,17,65,111.9,121.2,111.2,120.4
WAS,18,64,108,120.4,106.8,119.1
